age_bucket,country_destination,gender,population_in_thousands,year
100+,AU,male,1.0,2015.0
95-99,AU,male,9.0,2015.0
90-94,AU,male,47.0,2015.0
85-89,AU,male,118.0,2015.0
80-84,AU,male,199.0,2015.0
75-79,AU,male,298.0,2015.0
70-74,AU,male,415.0,2015.0
65-69,AU,male,574.0,2015.0
60-64,AU,male,636.0,2015.0
55-59,AU,male,714.0,2015.0
50-54,AU,male,778.0,2015.0
45-49,AU,male,778.0,2015.0
40-44,AU,male,820.0,2015.0
35-39,AU,male,797.0,2015.0
30-34,AU,male,881.0,2015.0
25-29,AU,male,895.0,2015.0
20-24,AU,male,820.0,2015.0
15-19,AU,male,768.0,2015.0
10-14,AU,male,743.0,2015.0
5-9,AU,male,784.0,2015.0
0-4,AU,male,824.0,2015.0
100+,AU,female,4.0,2015.0
95-99,AU,female,25.0,2015.0
90-94,AU,female,94.0,2015.0
85-89,AU,female,179.0,2015.0
80-84,AU,female,252.0,2015.0
75-79,AU,female,338.0,2015.0
70-74,AU,female,438.0,2015.0
65-69,AU,female,592.0,2015.0
60-64,AU,female,660.0,2015.0
55-59,AU,female,739.0,2015.0
50-54,AU,female,798.0,2015.0
45-49,AU,female,793.0,2015.0
40-44,AU,female,838.0,2015.0
35-39,AU,female,801.0,2015.0
30-34,AU,female,865.0,2015.0
25-29,AU,female,851.0,2015.0
20-24,AU,female,787.0,2015.0
15-19,AU,female,737.0,2015.0
10-14,AU,female,707.0,2015.0
5-9,AU,female,745.0,2015.0
0-4,AU,female,781.0,2015.0
75-79,CA,female,530.0,2015.0
75-79,CA,male,446.0,2015.0
35-39,CA,female,1192.0,2015.0
25-29,CA,female,1220.0,2015.0
95-99,CA,male,13.0,2015.0
40-44,CA,male,1179.0,2015.0
30-34,CA,female,1240.0,2015.0
60-64,CA,female,1142.0,2015.0
55-59,CA,male,1287.0,2015.0
45-49,CA,male,1232.0,2015.0
85-89,CA,female,300.0,2015.0
50-54,CA,male,1400.0,2015.0
100+,CA,male,1.0,2015.0
70-74,CA,male,650.0,2015.0
95-99,CA,female,42.0,2015.0
100+,CA,female,7.0,2015.0
90-94,CA,male,68.0,2015.0
50-54,CA,female,1391.0,2015.0
0-4,CA,male,1045.0,2015.0
5-9,CA,male,1011.0,2015.0
70-74,CA,female,715.0,2015.0
10-14,CA,male,983.0,2015.0
55-59,CA,female,1305.0,2015.0
45-49,CA,female,1217.0,2015.0
20-24,CA,female,1159.0,2015.0
15-19,CA,male,1054.0,2015.0
20-24,CA,male,1203.0,2015.0
65-69,CA,male,914.0,2015.0
40-44,CA,female,1169.0,2015.0
90-94,CA,female,153.0,2015.0
65-69,CA,female,973.0,2015.0
60-64,CA,male,1094.0,2015.0
85-89,CA,male,183.0,2015.0
25-29,CA,male,1273.0,2015.0
5-9,CA,female,960.0,2015.0
80-84,CA,female,422.0,2015.0
30-34,CA,male,1262.0,2015.0
10-14,CA,female,929.0,2015.0
0-4,CA,female,991.0,2015.0
35-39,CA,male,1189.0,2015.0
15-19,CA,female,1009.0,2015.0
80-84,CA,male,318.0,2015.0
70-74,DE,male,2099.0,2015.0
80-84,DE,female,1486.0,2015.0
60-64,DE,female,2799.0,2015.0
100+,DE,male,3.0,2015.0
5-9,DE,female,1690.0,2015.0
75-79,DE,female,2421.0,2015.0
70-74,DE,female,2362.0,2015.0
65-69,DE,female,2134.0,2015.0
85-89,DE,male,517.0,2015.0
25-29,DE,female,2495.0,2015.0
60-64,DE,male,2575.0,2015.0
0-4,DE,female,1713.0,2015.0
55-59,DE,male,2983.0,2015.0
50-54,DE,male,3614.0,2015.0
30-34,DE,female,2571.0,2015.0
45-49,DE,male,3525.0,2015.0
40-44,DE,male,2633.0,2015.0
35-39,DE,female,2402.0,2015.0
65-69,DE,male,2003.0,2015.0
35-39,DE,male,2448.0,2015.0
20-24,DE,female,2161.0,2015.0
30-34,DE,male,2627.0,2015.0
95-99,DE,male,17.0,2015.0
40-44,DE,female,2559.0,2015.0
75-79,DE,male,1932.0,2015.0
25-29,DE,male,2593.0,2015.0
10-14,DE,female,1800.0,2015.0
20-24,DE,male,2266.0,2015.0
15-19,DE,male,2076.0,2015.0
45-49,DE,female,3357.0,2015.0
10-14,DE,male,1892.0,2015.0
5-9,DE,male,1781.0,2015.0
50-54,DE,female,3513.0,2015.0
0-4,DE,male,1811.0,2015.0
15-19,DE,female,1974.0,2015.0
100+,DE,female,14.0,2015.0
90-94,DE,male,154.0,2015.0
80-84,DE,male,1016.0,2015.0
95-99,DE,female,71.0,2015.0
90-94,DE,female,491.0,2015.0
55-59,DE,female,2996.0,2015.0
85-89,DE,female,988.0,2015.0
95-99,ES,male,22.0,2015.0
15-19,ES,female,1027.0,2015.0
85-89,ES,male,306.0,2015.0
75-79,ES,male,688.0,2015.0
40-44,ES,female,1924.0,2015.0
100+,ES,male,3.0,2015.0
90-94,ES,male,112.0,2015.0
45-49,ES,male,1909.0,2015.0
15-19,ES,male,1087.0,2015.0
0-4,ES,female,1198.0,2015.0
70-74,ES,female,1040.0,2015.0
5-9,ES,male,1307.0,2015.0
10-14,ES,female,1124.0,2015.0
30-34,ES,male,1748.0,2015.0
65-69,ES,female,1251.0,2015.0
95-99,ES,female,64.0,2015.0
80-84,ES,female,843.0,2015.0
55-59,ES,male,1479.0,2015.0
10-14,ES,male,1189.0,2015.0
50-54,ES,female,1733.0,2015.0
20-24,ES,female,1106.0,2015.0
40-44,ES,male,2052.0,2015.0
70-74,ES,male,880.0,2015.0
30-34,ES,female,1646.0,2015.0
35-39,ES,male,2117.0,2015.0
75-79,ES,female,906.0,2015.0
25-29,ES,female,1280.0,2015.0
5-9,ES,female,1235.0,2015.0
60-64,ES,male,1235.0,2015.0
55-59,ES,female,1531.0,2015.0
25-29,ES,male,1347.0,2015.0
85-89,ES,female,563.0,2015.0
65-69,ES,male,1119.0,2015.0
100+,ES,female,9.0,2015.0
90-94,ES,female,256.0,2015.0
35-39,ES,female,1966.0,2015.0
80-84,ES,male,559.0,2015.0
0-4,ES,male,1272.0,2015.0
60-64,ES,female,1316.0,2015.0
50-54,ES,male,1727.0,2015.0
20-24,ES,male,1175.0,2015.0
45-49,ES,female,1852.0,2015.0
40-44,FR,male,2212.0,2015.0
60-64,FR,male,1891.0,2015.0
90-94,FR,male,164.0,2015.0
35-39,FR,male,1842.0,2015.0
100+,FR,male,3.0,2015.0
75-79,FR,female,1223.0,2015.0
25-29,FR,female,2041.0,2015.0
70-74,FR,male,1103.0,2015.0
30-34,FR,male,2035.0,2015.0
85-89,FR,male,405.0,2015.0
55-59,FR,female,2125.0,2015.0
90-94,FR,female,465.0,2015.0
25-29,FR,male,2081.0,2015.0
95-99,FR,male,20.0,2015.0
75-79,FR,male,918.0,2015.0
20-24,FR,male,2040.0,2015.0
10-14,FR,female,1894.0,2015.0
65-69,FR,female,1985.0,2015.0
45-49,FR,female,2220.0,2015.0
15-19,FR,male,2016.0,2015.0
70-74,FR,female,1317.0,2015.0
80-84,FR,male,712.0,2015.0
10-14,FR,male,1985.0,2015.0
80-84,FR,female,1137.0,2015.0
5-9,FR,male,1992.0,2015.0
50-54,FR,female,2234.0,2015.0
5-9,FR,female,1914.0,2015.0
60-64,FR,female,2065.0,2015.0
0-4,FR,male,2035.0,2015.0
40-44,FR,female,2231.0,2015.0
15-19,FR,female,1916.0,2015.0
85-89,FR,female,838.0,2015.0
100+,FR,female,19.0,2015.0
0-4,FR,female,1938.0,2015.0
20-24,FR,female,1947.0,2015.0
55-59,FR,male,1939.0,2015.0
30-34,FR,female,2046.0,2015.0
50-54,FR,male,2123.0,2015.0
95-99,FR,female,82.0,2015.0
45-49,FR,male,2194.0,2015.0
65-69,FR,male,1780.0,2015.0
35-39,FR,female,1856.0,2015.0
10-14,GB,female,1690.0,2015.0
35-39,GB,male,1979.0,2015.0
65-69,GB,female,1858.0,2015.0
60-64,GB,male,1693.0,2015.0
10-14,GB,male,1771.0,2015.0
95-99,GB,female,81.0,2015.0
25-29,GB,male,2213.0,2015.0
5-9,GB,female,1913.0,2015.0
40-44,GB,male,2101.0,2015.0
100+,GB,female,13.0,2015.0
70-74,GB,female,1422.0,2015.0
60-64,GB,female,1775.0,2015.0
85-89,GB,female,602.0,2015.0
30-34,GB,male,2190.0,2015.0
65-69,GB,male,1735.0,2015.0
55-59,GB,male,1925.0,2015.0
80-84,GB,female,896.0,2015.0
100+,GB,male,3.0,2015.0
45-49,GB,male,2301.0,2015.0
35-39,GB,female,1964.0,2015.0
55-59,GB,female,1991.0,2015.0
85-89,GB,male,365.0,2015.0
40-44,GB,female,2147.0,2015.0
95-99,GB,male,29.0,2015.0
50-54,GB,female,2306.0,2015.0
0-4,GB,female,1888.0,2015.0
25-29,GB,female,2122.0,2015.0
20-24,GB,female,1957.0,2015.0
15-19,GB,male,1864.0,2015.0
50-54,GB,male,2220.0,2015.0
90-94,GB,female,310.0,2015.0
5-9,GB,male,2007.0,2015.0
20-24,GB,male,2061.0,2015.0
75-79,GB,male,978.0,2015.0
15-19,GB,female,1783.0,2015.0
80-84,GB,male,661.0,2015.0
70-74,GB,male,1273.0,2015.0
30-34,GB,female,2112.0,2015.0
45-49,GB,female,2349.0,2015.0
75-79,GB,female,1166.0,2015.0
90-94,GB,male,145.0,2015.0
0-4,GB,male,1981.0,2015.0
20-24,IT,female,1514.0,2015.0
65-69,IT,male,1716.0,2015.0
100+,IT,male,3.0,2015.0
95-99,IT,male,22.0,2015.0
90-94,IT,male,164.0,2015.0
85-89,IT,male,440.0,2015.0
60-64,IT,male,1749.0,2015.0
55-59,IT,male,1976.0,2015.0
15-19,IT,female,1411.0,2015.0
80-84,IT,male,808.0,2015.0
50-54,IT,male,2322.0,2015.0
45-49,IT,male,2476.0,2015.0
40-44,IT,male,2428.0,2015.0
35-39,IT,male,2117.0,2015.0
30-34,IT,male,1814.0,2015.0
25-29,IT,male,1673.0,2015.0
20-24,IT,male,1601.0,2015.0
15-19,IT,male,1493.0,2015.0
10-14,IT,male,1468.0,2015.0
75-79,IT,male,1191.0,2015.0
5-9,IT,male,1473.0,2015.0
10-14,IT,female,1388.0,2015.0
0-4,IT,male,1468.0,2015.0
100+,IT,female,15.0,2015.0
0-4,IT,female,1383.0,2015.0
95-99,IT,female,79.0,2015.0
90-94,IT,female,436.0,2015.0
85-89,IT,female,855.0,2015.0
80-84,IT,female,1231.0,2015.0
75-79,IT,female,1534.0,2015.0
70-74,IT,female,1567.0,2015.0
65-69,IT,female,1893.0,2015.0
70-74,IT,male,1338.0,2015.0
60-64,IT,female,1880.0,2015.0
5-9,IT,female,1395.0,2015.0
55-59,IT,female,2069.0,2015.0
50-54,IT,female,2373.0,2015.0
45-49,IT,female,2480.0,2015.0
40-44,IT,female,2411.0,2015.0
35-39,IT,female,2090.0,2015.0
30-34,IT,female,1791.0,2015.0
25-29,IT,female,1610.0,2015.0
60-64,NL,female,524.0,2015.0
80-84,NL,female,231.0,2015.0
5-9,NL,female,450.0,2015.0
90-94,NL,male,25.0,2015.0
85-89,NL,female,151.0,2015.0
70-74,NL,male,351.0,2015.0
55-59,NL,female,580.0,2015.0
90-94,NL,female,69.0,2015.0
95-99,NL,female,15.0,2015.0
100+,NL,female,2.0,2015.0
50-54,NL,female,636.0,2015.0
0-4,NL,male,462.0,2015.0
5-9,NL,male,473.0,2015.0
10-14,NL,male,517.0,2015.0
45-49,NL,female,637.0,2015.0
15-19,NL,male,510.0,2015.0
20-24,NL,female,504.0,2015.0
20-24,NL,male,527.0,2015.0
65-69,NL,male,518.0,2015.0
25-29,NL,male,518.0,2015.0
40-44,NL,female,583.0,2015.0
10-14,NL,female,493.0,2015.0
30-34,NL,male,503.0,2015.0
95-99,NL,male,4.0,2015.0
75-79,NL,male,246.0,2015.0
35-39,NL,male,490.0,2015.0
80-84,NL,male,158.0,2015.0
35-39,NL,female,490.0,2015.0
40-44,NL,male,582.0,2015.0
15-19,NL,female,484.0,2015.0
0-4,NL,female,438.0,2015.0
45-49,NL,male,650.0,2015.0
30-34,NL,female,497.0,2015.0
50-54,NL,male,646.0,2015.0
100+,NL,male,0.0,2015.0
55-59,NL,male,581.0,2015.0
25-29,NL,female,505.0,2015.0
60-64,NL,male,523.0,2015.0
85-89,NL,male,78.0,2015.0
65-69,NL,female,527.0,2015.0
70-74,NL,female,375.0,2015.0
75-79,NL,female,295.0,2015.0
80-84,PT,female,194.0,2015.0
40-44,PT,female,418.0,2015.0
65-69,PT,female,313.0,2015.0
60-64,PT,female,341.0,2015.0
90-94,PT,male,19.0,2015.0
85-89,PT,female,115.0,2015.0
80-84,PT,male,122.0,2015.0
35-39,PT,male,419.0,2015.0
15-19,PT,female,266.0,2015.0
60-64,PT,male,308.0,2015.0
90-94,PT,female,45.0,2015.0
25-29,PT,female,299.0,2015.0
95-99,PT,female,9.0,2015.0
55-59,PT,female,366.0,2015.0
65-69,PT,male,267.0,2015.0
40-44,PT,male,416.0,2015.0
100+,PT,female,1.0,2015.0
75-79,PT,female,244.0,2015.0
0-4,PT,male,239.0,2015.0
85-89,PT,male,59.0,2015.0
35-39,PT,female,414.0,2015.0
5-9,PT,male,264.0,2015.0
100+,PT,male,0.0,2015.0
50-54,PT,female,397.0,2015.0
95-99,PT,male,3.0,2015.0
10-14,PT,female,269.0,2015.0
10-14,PT,male,285.0,2015.0
0-4,PT,female,225.0,2015.0
75-79,PT,male,177.0,2015.0
5-9,PT,female,250.0,2015.0
15-19,PT,male,277.0,2015.0
45-49,PT,male,386.0,2015.0
20-24,PT,male,285.0,2015.0
45-49,PT,female,395.0,2015.0
20-24,PT,female,275.0,2015.0
70-74,PT,male,214.0,2015.0
25-29,PT,male,309.0,2015.0
50-54,PT,male,378.0,2015.0
70-74,PT,female,270.0,2015.0
55-59,PT,male,343.0,2015.0
30-34,PT,female,362.0,2015.0
30-34,PT,male,371.0,2015.0
90-94,US,female,1193.0,2015.0
75-79,US,male,3641.0,2015.0
70-74,US,male,5278.0,2015.0
65-69,US,male,7561.0,2015.0
60-64,US,male,9217.0,2015.0
55-59,US,male,10689.0,2015.0
50-54,US,male,11013.0,2015.0
45-49,US,male,10454.0,2015.0
40-44,US,male,10159.0,2015.0
10-14,US,female,10346.0,2015.0
35-39,US,male,10329.0,2015.0
30-34,US,male,10984.0,2015.0
25-29,US,male,11385.0,2015.0
20-24,US,male,11601.0,2015.0
15-19,US,male,11025.0,2015.0
10-14,US,male,10771.0,2015.0
5-9,US,male,10632.0,2015.0
0-4,US,male,10788.0,2015.0
100+,US,female,61.0,2015.0
95-99,US,female,361.0,2015.0
5-9,US,female,10201.0,2015.0
85-89,US,female,2459.0,2015.0
80-84,US,female,3394.0,2015.0
75-79,US,female,4532.0,2015.0
70-74,US,female,6179.0,2015.0
65-69,US,female,8483.0,2015.0
60-64,US,female,10004.0,2015.0
55-59,US,female,11264.0,2015.0
50-54,US,female,11413.0,2015.0
45-49,US,female,10659.0,2015.0
0-4,US,female,10306.0,2015.0
40-44,US,female,10308.0,2015.0
35-39,US,female,10352.0,2015.0
30-34,US,female,10863.0,2015.0
25-29,US,female,11011.0,2015.0
20-24,US,female,11094.0,2015.0
100+,US,male,13.0,2015.0
95-99,US,male,115.0,2015.0
90-94,US,male,541.0,2015.0
15-19,US,female,10570.0,2015.0
85-89,US,male,1441.0,2015.0
80-84,US,male,2442.0,2015.0
