Credit History,Age,Gender,Job,Housing,Saving accounts,Credit amount,Duration,Purpose,Risk
4,67,male,2,own,NA,1169,6,radio/TV,good
2,22,female,2,own,little,5951,48,radio/TV,bad
4,49,male,1,own,little,2096,12,education,good
2,45,male,2,free,little,7882,42,furniture/equipment,good
3,53,male,2,free,little,4870,24,car,bad
2,35,male,1,free,NA,9055,36,education,good
2,53,male,2,own,quite rich,2835,24,furniture/equipment,good
2,35,male,3,rent,little,6948,36,car,good
2,61,male,1,own,rich,3059,12,radio/TV,good
4,28,male,3,own,little,5234,30,car,bad
2,25,female,2,rent,little,1295,12,car,bad
2,24,female,2,rent,little,4308,48,business,bad
2,22,female,2,own,little,1567,12,radio/TV,good
4,60,male,1,own,little,1199,24,car,bad
2,28,female,2,rent,little,1403,15,car,good
2,32,female,1,own,moderate,1282,24,radio/TV,bad
4,53,male,2,own,NA,2424,24,radio/TV,good
0,25,male,2,own,NA,8072,30,business,good
2,44,female,3,free,little,12579,24,car,bad
2,31,male,2,own,quite rich,3430,24,radio/TV,good
4,48,male,2,own,little,2134,9,car,good
2,44,male,2,rent,quite rich,2647,6,radio/TV,good
4,48,male,1,rent,little,2241,10,car,good
4,44,male,2,own,moderate,1804,12,car,good
4,26,male,2,own,NA,2069,10,furniture/equipment,good
2,36,male,1,own,little,1374,6,furniture/equipment,good
0,39,male,1,own,little,426,6,radio/TV,good
1,42,female,2,rent,rich,409,12,radio/TV,good
2,34,male,2,own,little,2415,7,radio/TV,good
3,63,male,2,own,little,6836,60,business,bad
2,36,male,2,own,rich,1913,18,business,good
2,27,male,2,own,little,4020,24,furniture/equipment,good
2,30,male,2,own,moderate,5866,18,car,good
4,57,male,1,rent,NA,1264,12,business,good
2,33,female,3,own,little,1474,12,furniture/equipment,good
4,25,male,1,own,little,4746,45,radio/TV,bad
4,31,male,2,free,little,6110,48,education,good
2,37,male,2,own,little,2100,18,radio/TV,bad
2,37,male,2,own,little,1225,10,domestic appliances,good
2,24,male,2,own,little,458,9,radio/TV,good
2,30,male,3,own,quite rich,2333,30,radio/TV,good
2,26,male,2,own,quite rich,1158,12,radio/TV,good
3,44,male,1,own,little,6204,18,repairs,good
4,24,male,2,rent,moderate,6187,30,car,good
4,58,female,1,free,little,6143,48,car,bad
4,35,female,3,own,little,1393,11,car,good
2,39,male,2,own,quite rich,2299,36,radio/TV,good
2,23,female,0,rent,quite rich,1352,6,car,good
4,39,male,1,own,little,7228,11,car,good
2,28,female,2,own,moderate,2073,12,radio/TV,good
3,29,male,1,own,NA,2333,24,furniture/equipment,good
3,30,male,3,own,little,5965,27,car,good
2,25,male,2,own,little,1262,12,radio/TV,good
2,31,male,2,own,NA,3378,18,car,good
3,57,male,2,free,little,2225,36,car,bad
1,26,male,1,own,NA,783,6,car,good
2,52,male,3,own,NA,6468,12,radio/TV,bad
4,31,female,2,own,little,9566,36,radio/TV,good
2,23,female,3,own,little,1961,18,car,good
4,23,female,1,rent,little,6229,36,furniture/equipment,bad
2,27,male,2,own,little,1391,9,business,good
4,50,male,2,own,NA,1537,15,radio/TV,good
0,61,male,3,free,little,1953,36,business,bad
0,25,male,2,own,little,14421,48,business,bad
2,26,female,2,own,little,3181,24,radio/TV,good
2,48,male,2,own,NA,5190,27,repairs,good
2,29,female,2,own,little,2171,12,radio/TV,good
2,22,male,2,own,rich,1007,12,car,good
2,37,male,2,free,little,1819,36,education,bad
2,25,female,2,own,NA,2394,36,radio/TV,good
2,30,female,2,own,little,8133,36,car,good
4,46,male,1,rent,NA,730,7,radio/TV,good
4,51,male,3,free,little,1164,8,vacation/others,good
4,41,female,1,own,little,5954,42,business,good
2,40,male,3,own,NA,1977,36,education,bad
4,66,male,3,free,little,1526,12,car,good
2,34,male,2,own,little,3965,42,radio/TV,bad
3,51,male,2,own,little,4771,11,radio/TV,good
0,39,male,1,own,NA,9436,54,car,good
2,22,male,2,own,little,3832,30,furniture/equipment,good
2,44,female,2,own,NA,5943,24,radio/TV,bad
2,47,male,2,own,quite rich,1213,15,radio/TV,good
2,24,female,1,rent,moderate,1568,18,business,good
2,58,female,1,own,little,1755,24,vacation/others,good
2,52,male,1,own,little,2315,10,radio/TV,good
4,29,female,3,own,little,1412,12,business,good
4,27,female,2,own,little,1295,18,furniture/equipment,good
2,47,male,2,free,moderate,12612,36,education,bad
2,30,male,3,own,moderate,2249,18,car,good
0,28,male,2,own,little,1108,12,repairs,bad
4,56,male,2,own,little,618,12,radio/TV,good
4,54,male,2,own,little,1409,12,car,good
4,33,female,1,own,NA,797,12,radio/TV,bad
4,20,male,2,rent,NA,3617,24,furniture/equipment,good
2,54,male,2,own,rich,1318,12,car,good
0,58,male,2,rent,little,15945,54,business,bad
4,61,female,2,own,NA,2012,12,education,good
2,34,male,2,own,moderate,2622,18,business,good
4,36,male,2,own,little,2337,36,radio/TV,good
3,36,male,3,rent,NA,7057,20,car,good
2,41,male,1,rent,moderate,1469,24,car,good
2,24,male,2,rent,little,2323,36,radio/TV,good
3,24,female,2,own,little,932,6,radio/TV,good
4,35,male,2,rent,little,1919,9,furniture/equipment,good
2,26,male,2,rent,NA,2445,12,car,good
4,39,male,3,own,little,11938,24,vacation/others,bad
1,39,male,3,own,little,6458,18,car,bad
2,32,male,2,own,little,6078,12,car,good
2,30,female,2,own,NA,7721,24,furniture/equipment,good
2,35,male,2,own,quite rich,1410,14,business,good
3,31,male,2,own,moderate,1449,6,business,good
2,23,female,2,rent,little,392,15,education,good
2,28,male,1,rent,little,6260,18,car,good
4,25,female,2,own,little,7855,36,car,bad
2,35,male,2,own,quite rich,1680,12,radio/TV,good
4,47,male,2,own,NA,3578,48,radio/TV,good
2,30,female,3,own,NA,7174,42,radio/TV,bad
4,27,female,2,rent,NA,2132,10,furniture/equipment,good
4,23,female,2,own,quite rich,4281,33,furniture/equipment,bad
4,36,male,3,own,quite rich,2366,12,car,good
2,25,female,2,own,little,1835,21,radio/TV,bad
4,41,female,3,rent,little,3868,24,car,good
2,24,male,1,rent,little,1768,12,furniture/equipment,good
4,63,male,2,free,little,781,10,car,good
2,27,female,2,rent,NA,1924,18,furniture/equipment,bad
4,30,male,2,own,little,2121,12,car,good
2,40,male,1,own,little,701,12,radio/TV,good
2,30,male,2,own,little,639,12,repairs,bad
4,34,male,3,own,little,1860,12,car,good
4,29,female,2,own,little,3499,12,car,bad
2,24,female,2,own,NA,8487,48,car,good
3,29,male,2,own,little,6887,36,education,bad
2,27,male,1,own,little,2708,15,furniture/equipment,good
2,47,male,2,free,little,1984,18,furniture/equipment,good
2,21,female,2,own,moderate,10144,60,radio/TV,good
4,38,female,2,own,NA,1240,12,radio/TV,good
3,27,male,2,own,rich,8613,27,car,good
2,66,male,1,own,quite rich,766,12,radio/TV,bad
4,35,male,2,own,NA,2728,15,radio/TV,good
2,44,female,1,rent,little,1881,12,radio/TV,good
2,27,male,0,own,rich,709,6,car,good
2,30,female,3,own,little,4795,36,radio/TV,good
2,27,male,3,own,little,3416,27,radio/TV,good
2,22,male,2,own,little,2462,18,furniture/equipment,bad
4,23,female,2,own,little,2288,21,furniture/equipment,good
1,30,male,2,own,moderate,3566,48,business,good
4,39,female,2,own,little,860,6,car,good
4,51,female,2,own,moderate,682,12,car,good
4,28,male,2,own,little,5371,36,furniture/equipment,good
4,46,male,2,own,rich,1582,18,radio/TV,good
2,42,male,2,free,moderate,1346,6,radio/TV,good
2,38,male,2,own,little,1924,10,radio/TV,good
2,24,male,2,own,little,5848,36,radio/TV,good
4,29,female,2,rent,rich,7758,24,car,good
3,36,male,3,rent,moderate,6967,24,business,good
2,20,female,2,rent,little,1282,12,furniture/equipment,bad
4,48,male,2,own,moderate,1288,9,repairs,good
1,45,male,1,own,little,339,12,education,good
2,38,male,2,own,moderate,3512,24,car,good
4,34,male,1,own,NA,1898,6,radio/TV,good
4,36,male,2,own,moderate,2872,24,radio/TV,good
4,30,female,2,own,little,1055,18,car,good
2,36,male,2,own,quite rich,1262,15,domestic appliances,good
2,70,male,3,free,little,7308,10,car,good
2,36,male,2,own,quite rich,909,36,car,good
2,32,male,2,own,quite rich,2978,6,furniture/equipment,good
2,33,female,2,own,little,1131,18,furniture/equipment,bad
2,20,female,2,own,rich,1577,11,furniture/equipment,good
2,25,female,2,rent,little,3972,24,furniture/equipment,good
4,31,male,2,own,little,1935,24,business,bad
0,33,male,2,rent,little,950,15,car,bad
2,26,female,2,own,little,763,12,furniture/equipment,good
3,34,female,3,own,little,2064,24,furniture/equipment,bad
2,33,male,2,own,little,1414,8,radio/TV,good
3,26,male,2,own,little,3414,21,education,bad
1,53,female,3,own,NA,7485,30,car,bad
2,42,male,2,own,little,2577,12,furniture/equipment,good
4,52,male,2,own,quite rich,338,6,radio/TV,good
2,31,male,3,rent,little,1963,12,radio/TV,good
4,65,male,2,own,little,571,21,car,good
3,28,male,2,own,little,9572,36,business,bad
3,30,male,3,own,little,4455,36,business,bad
1,40,male,1,own,NA,1647,21,car,bad
4,50,male,2,own,rich,3777,24,furniture/equipment,good
4,36,male,2,own,little,884,18,car,bad
4,31,male,2,own,little,1360,15,radio/TV,good
1,74,female,3,free,little,5129,9,car,bad
4,68,male,0,free,little,1175,16,car,good
2,20,male,2,own,moderate,674,12,radio/TV,bad
0,33,female,2,own,little,3244,18,furniture/equipment,good
2,54,male,3,own,rich,4591,24,business,bad
0,34,male,1,free,moderate,3844,48,business,bad
2,36,male,2,own,little,3915,27,business,bad
2,29,male,2,rent,little,2108,6,radio/TV,good
2,21,male,2,rent,moderate,3031,45,radio/TV,bad
4,34,female,3,own,little,1501,9,education,bad
4,28,female,2,own,little,1382,6,radio/TV,good
2,27,female,2,rent,moderate,951,12,furniture/equipment,bad
2,36,male,2,free,NA,2760,24,car,good
3,40,male,3,own,little,4297,18,furniture/equipment,bad
4,52,male,2,own,quite rich,936,9,education,good
2,27,male,1,own,little,1168,12,car,good
3,26,male,2,own,little,5117,27,business,good
2,21,male,2,rent,little,902,12,education,bad
4,38,male,1,own,little,1495,12,car,good
4,38,male,3,free,little,10623,30,car,good
4,43,male,2,own,little,1935,12,furniture/equipment,good
4,26,male,2,own,little,1424,12,domestic appliances,good
2,21,male,1,own,little,6568,24,business,good
2,55,male,2,own,rich,1413,12,car,good
4,33,male,2,own,NA,3074,9,radio/TV,good
2,45,female,1,own,NA,3835,36,radio/TV,good
0,50,male,2,own,little,5293,27,business,bad
3,66,male,3,own,little,1908,30,business,bad
4,51,male,2,own,NA,3342,36,radio/TV,good
4,39,female,1,own,NA,932,6,education,good
0,31,male,2,own,little,3104,18,business,good
2,23,male,2,own,little,3913,36,radio/TV,good
2,24,male,1,rent,little,3021,24,furniture/equipment,good
2,64,female,2,own,little,1364,10,car,good
2,26,male,1,own,little,625,12,radio/TV,good
2,23,female,2,rent,NA,1200,12,education,good
2,30,male,2,own,little,707,12,radio/TV,good
3,32,male,2,own,NA,2978,24,business,good
2,30,male,2,own,little,4657,15,car,good
0,27,male,2,own,little,2613,36,repairs,good
2,27,male,2,own,rich,10961,48,radio/TV,bad
2,53,male,3,free,little,7865,12,furniture/equipment,bad
2,22,male,2,own,little,1478,9,radio/TV,bad
2,22,male,2,free,little,3149,24,furniture/equipment,good
2,26,male,2,own,little,4210,36,radio/TV,bad
2,51,male,1,free,quite rich,2507,9,car,good
2,35,male,2,own,moderate,2141,12,radio/TV,good
2,25,male,1,own,little,866,18,radio/TV,good
4,42,male,1,own,little,1544,4,radio/TV,good
2,30,male,3,own,little,1823,24,radio/TV,bad
2,23,male,0,own,NA,14555,6,car,bad
2,61,male,1,rent,moderate,2767,21,business,bad
4,35,female,2,own,little,1291,12,radio/TV,good
2,39,male,2,own,little,2522,30,radio/TV,good
2,29,female,2,own,NA,915,24,car,bad
2,51,male,2,own,little,1595,6,radio/TV,good
0,24,male,2,free,little,4605,48,car,bad
4,27,female,2,own,little,1185,12,business,good
1,35,female,1,own,quite rich,3447,12,education,good
2,25,male,2,own,little,1258,24,business,good
4,52,male,2,own,little,717,12,radio/TV,good
0,35,male,2,rent,moderate,1204,6,car,good
2,26,male,2,own,little,1925,24,furniture/equipment,good
2,22,female,2,rent,little,433,18,radio/TV,bad
4,39,female,1,own,rich,666,6,car,good
2,46,female,1,own,little,2251,12,furniture/equipment,good
2,24,female,2,own,little,2150,30,car,bad
3,35,male,2,own,moderate,4151,24,furniture/equipment,good
2,24,male,2,own,NA,2030,9,furniture/equipment,good
3,27,male,1,own,NA,7418,60,radio/TV,good
4,35,male,1,own,little,2684,24,radio/TV,good
1,29,male,2,free,little,2149,12,radio/TV,bad
2,23,female,2,own,moderate,3812,15,car,good
4,57,female,1,own,moderate,1154,11,radio/TV,good
2,27,male,2,own,little,1657,12,furniture/equipment,good
2,55,female,2,own,little,1603,24,radio/TV,good
4,36,male,3,free,little,5302,18,car,good
4,57,female,1,free,little,2748,12,education,good
4,32,male,1,own,little,1231,10,car,good
2,37,male,2,own,little,802,15,radio/TV,bad
4,36,male,2,own,NA,6304,36,business,good
2,38,female,2,own,little,1533,24,radio/TV,good
2,45,male,3,own,little,8978,14,car,bad
2,25,male,2,own,NA,999,24,radio/TV,good
2,32,male,2,own,NA,2662,18,car,good
4,37,female,2,rent,quite rich,1402,12,furniture/equipment,good
1,36,male,3,free,NA,12169,48,car,good
2,28,male,2,own,little,3060,48,radio/TV,bad
2,34,male,1,own,little,11998,30,repairs,bad
2,32,male,2,own,little,2697,9,radio/TV,good
4,26,female,2,own,little,2404,18,radio/TV,good
2,49,male,1,own,NA,1262,12,furniture/equipment,good
2,32,female,2,own,little,4611,6,furniture/equipment,bad
2,29,male,3,rent,moderate,1901,24,radio/TV,good
4,23,male,2,rent,rich,3368,15,car,good
2,50,male,2,own,little,1574,12,furniture/equipment,good
1,49,male,1,own,NA,1445,18,radio/TV,good
4,63,male,2,own,NA,1520,15,furniture/equipment,good
4,37,male,2,own,moderate,3878,24,car,good
2,35,female,1,own,little,10722,47,car,good
2,26,male,2,own,little,4788,48,car,good
3,31,male,3,free,moderate,7582,48,vacation/others,good
2,49,female,2,own,little,1092,12,radio/TV,good
3,48,male,2,own,little,1024,24,radio/TV,bad
2,26,male,2,own,little,1076,12,business,good
2,28,male,3,rent,little,9398,36,car,bad
4,44,female,3,free,little,6419,24,car,good
4,56,male,2,free,little,4796,42,car,good
4,46,male,3,own,NA,7629,48,business,good
2,26,female,2,own,little,9960,48,furniture/equipment,bad
2,20,female,2,rent,NA,4675,12,car,good
2,45,male,1,own,NA,1287,10,car,good
2,43,male,2,own,little,2515,18,furniture/equipment,good
4,32,male,2,own,rich,2745,21,furniture/equipment,good
2,54,female,0,own,little,672,6,car,good
0,42,female,2,own,little,3804,36,radio/TV,bad
4,37,male,1,own,NA,1344,24,car,bad
4,49,male,2,own,little,1038,10,car,good
4,44,male,2,free,quite rich,10127,48,car,bad
2,33,male,2,own,rich,1543,6,furniture/equipment,good
2,24,female,1,rent,NA,4811,30,car,good
2,33,male,1,own,moderate,727,12,radio/TV,bad
2,24,female,2,own,little,1237,8,furniture/equipment,bad
2,22,male,1,rent,little,276,9,car,good
2,40,male,0,free,NA,5381,48,vacation/others,good
2,25,male,2,own,moderate,5511,24,furniture/equipment,good
2,26,female,2,own,little,3749,24,furniture/equipment,good
2,25,male,1,own,little,685,12,car,bad
2,29,male,1,own,NA,1494,4,car,good
1,31,male,2,own,little,2746,36,furniture/equipment,bad
2,38,male,1,own,little,708,12,furniture/equipment,good
2,48,female,1,own,NA,4351,24,furniture/equipment,good
4,32,male,2,own,little,701,12,education,good
3,27,female,1,own,little,3643,15,furniture/equipment,good
4,28,male,3,own,little,4249,30,car,bad
2,32,male,2,own,little,1938,24,radio/TV,bad
2,34,male,3,free,little,2910,24,car,good
2,28,male,2,own,rich,2659,18,furniture/equipment,good
4,36,female,2,own,little,1028,18,car,good
4,39,male,1,own,little,3398,8,car,good
4,49,male,2,rent,NA,5801,12,furniture/equipment,good
2,34,female,2,own,rich,1525,24,car,good
2,31,male,2,own,little,4473,36,radio/TV,good
2,28,male,2,own,little,1068,6,radio/TV,good
4,75,male,3,free,little,6615,24,car,good
4,30,female,2,own,moderate,1864,18,education,bad
2,24,female,3,own,moderate,7408,60,car,bad
4,24,female,1,rent,moderate,11590,48,car,bad
0,23,male,2,rent,little,4110,24,furniture/equipment,bad
4,44,male,3,rent,little,3384,6,furniture/equipment,bad
2,23,female,1,own,little,2101,13,radio/TV,good
2,24,female,2,rent,NA,1275,15,domestic appliances,bad
2,28,male,2,own,little,4169,24,furniture/equipment,good
2,31,male,1,own,little,1521,10,furniture/equipment,good
4,24,female,2,free,little,5743,24,education,good
2,26,female,1,rent,little,3599,21,furniture/equipment,good
2,25,male,2,rent,quite rich,3213,18,radio/TV,good
2,33,male,3,own,little,4439,18,business,good
2,37,male,1,own,little,3949,10,car,good
4,43,female,1,own,little,1459,15,radio/TV,good
4,23,male,2,own,little,882,13,radio/TV,good
2,23,female,0,rent,quite rich,3758,24,radio/TV,good
3,34,male,1,own,moderate,1743,6,business,good
4,32,male,2,free,rich,1136,9,education,bad
2,23,female,2,rent,little,1236,9,domestic appliances,good
2,29,female,2,own,little,959,9,furniture/equipment,bad
4,38,male,3,own,NA,3229,18,car,good
0,28,male,2,rent,little,6199,12,radio/TV,bad
2,46,male,2,free,quite rich,727,10,education,good
2,23,male,1,own,little,1246,24,car,bad
4,49,male,2,own,NA,2331,12,radio/TV,good
3,26,male,3,own,little,4463,36,radio/TV,bad
2,28,male,2,own,little,776,12,radio/TV,good
2,23,female,2,rent,little,2406,30,furniture/equipment,bad
2,61,male,2,free,NA,1239,18,education,good
2,37,male,3,own,NA,3399,12,radio/TV,good
3,36,female,2,own,little,2247,12,car,good
2,21,male,2,rent,little,1766,6,furniture/equipment,good
2,25,male,0,own,little,2473,18,furniture/equipment,bad
2,36,male,2,own,little,1542,12,business,good
4,27,male,2,own,little,3850,18,car,good
2,22,female,2,rent,little,3650,18,furniture/equipment,good
2,42,male,2,own,little,3446,36,furniture/equipment,bad
2,40,female,2,rent,little,3001,18,furniture/equipment,good
2,36,male,2,own,NA,3079,36,car,good
4,33,male,2,own,little,6070,18,radio/TV,good
4,23,female,2,rent,little,2146,10,furniture/equipment,good
4,63,male,3,free,NA,13756,60,car,good
1,60,female,3,free,moderate,14782,60,vacation/others,bad
1,37,female,2,rent,little,7685,48,business,bad
3,34,male,2,own,little,2320,18,radio/TV,good
3,36,male,2,free,NA,846,7,radio/TV,good
2,57,male,3,free,little,14318,36,car,bad
4,52,female,1,own,moderate,362,6,car,good
2,39,male,2,own,NA,2212,20,furniture/equipment,good
2,38,female,3,free,little,12976,18,car,bad
2,25,female,2,rent,NA,1283,22,car,good
2,26,male,2,own,little,1330,12,car,good
3,26,male,1,own,moderate,4272,30,business,good
4,25,female,2,own,little,2238,18,radio/TV,good
2,21,female,2,rent,NA,1126,18,radio/TV,good
4,40,male,3,own,little,7374,18,furniture/equipment,good
4,27,male,2,own,quite rich,2326,15,business,good
2,27,female,2,own,little,1449,9,business,good
2,30,male,3,own,little,1820,18,car,good
2,19,female,1,rent,rich,983,12,furniture/equipment,good
2,39,male,3,free,little,3249,36,car,good
4,31,female,2,own,little,1957,6,radio/TV,good
4,31,male,3,own,little,2406,9,furniture/equipment,good
3,32,male,2,rent,moderate,11760,39,education,good
2,55,female,3,free,little,2578,12,furniture/equipment,good
4,46,male,2,own,little,2348,36,furniture/equipment,good
2,46,male,2,rent,little,1223,12,car,bad
4,43,female,1,own,rich,1516,24,radio/TV,good
2,39,male,2,own,little,1473,18,radio/TV,good
4,28,male,2,own,NA,1887,18,business,good
3,27,male,2,own,little,8648,24,business,bad
3,27,male,1,own,little,802,14,car,good
3,43,male,2,own,NA,2899,18,car,good
2,22,male,2,own,little,2039,24,radio/TV,bad
4,43,male,2,own,NA,2197,24,car,good
2,27,male,2,own,little,1053,15,radio/TV,good
2,26,male,3,own,quite rich,3235,24,radio/TV,good
4,28,male,2,own,quite rich,939,12,car,bad
2,20,female,2,own,little,1967,24,radio/TV,good
4,35,male,3,own,little,7253,33,car,good
4,42,male,3,own,little,2292,12,business,bad
2,40,male,1,rent,quite rich,1597,10,car,good
2,35,female,2,own,NA,1381,24,car,bad
4,35,male,2,own,little,5842,36,car,good
2,33,male,1,own,little,2579,12,car,bad
3,23,female,2,rent,NA,8471,18,education,good
2,31,female,3,own,quite rich,2782,21,car,good
2,33,female,2,own,NA,1042,18,car,bad
2,20,female,2,rent,rich,3186,15,car,good
2,30,male,2,own,NA,2028,12,car,good
4,47,male,1,own,little,958,12,car,good
3,34,male,3,own,moderate,1591,21,furniture/equipment,good
2,25,female,2,own,NA,2762,12,furniture/equipment,bad
2,21,male,2,rent,little,2779,18,car,good
4,29,male,2,own,little,2743,28,radio/TV,good
4,46,male,2,own,rich,1149,18,radio/TV,good
2,20,male,2,own,little,1313,9,furniture/equipment,good
4,55,female,0,free,little,1190,18,repairs,bad
2,74,male,1,own,little,3448,5,business,good
2,29,male,3,own,little,11328,24,vacation/others,bad
4,36,male,3,free,little,1872,6,furniture/equipment,good
4,33,male,2,own,little,2058,24,repairs,good
2,25,male,2,own,little,2136,9,furniture/equipment,good
2,25,male,2,own,NA,1484,12,radio/TV,bad
2,23,male,1,rent,quite rich,660,6,repairs,good
4,37,female,2,own,rich,1287,24,car,good
4,65,male,0,own,little,3394,42,repairs,good
1,26,female,0,own,little,609,12,business,bad
2,39,male,3,own,little,1884,12,car,good
2,30,female,2,own,little,1620,12,furniture/equipment,good
3,29,male,2,own,little,2629,20,vacation/others,good
2,41,male,1,own,little,719,12,education,bad
4,30,female,3,own,little,5096,48,furniture/equipment,bad
4,41,female,1,rent,NA,1244,9,education,good
2,34,female,2,own,little,1842,36,car,bad
2,35,male,2,own,little,2576,7,radio/TV,good
2,55,female,3,own,NA,1424,12,furniture/equipment,good
3,61,male,2,own,rich,1512,15,repairs,bad
4,30,male,3,own,NA,11054,36,car,good
2,29,female,2,own,little,518,6,radio/TV,good
0,34,male,2,own,little,2759,12,furniture/equipment,good
2,35,male,3,own,little,2670,24,car,good
2,31,male,2,own,little,4817,24,car,bad
2,29,female,3,own,little,2679,24,car,good
4,36,male,2,rent,little,3905,11,car,good
2,35,male,2,free,little,3386,12,car,bad
2,27,female,2,own,little,343,6,domestic appliances,good
2,32,male,2,own,little,4594,18,radio/TV,good
2,37,male,2,own,little,3620,36,furniture/equipment,good
2,36,male,2,own,little,1721,15,car,good
2,34,female,3,rent,little,3017,12,furniture/equipment,good
2,38,male,2,own,NA,754,12,education,good
2,34,male,2,own,little,1950,18,business,good
2,63,male,2,own,little,2924,24,car,good
3,29,female,1,rent,little,1659,24,radio/TV,bad
3,32,male,2,own,NA,7238,48,radio/TV,good
3,26,female,2,own,little,2764,33,business,good
3,35,male,1,own,little,4679,24,car,good
2,22,male,2,rent,moderate,3092,24,radio/TV,bad
2,23,female,2,own,little,448,6,education,bad
2,28,male,1,own,little,654,9,car,bad
2,36,male,3,own,NA,1238,6,education,good
4,33,male,2,own,little,1245,18,radio/TV,bad
0,26,female,2,rent,little,3114,18,furniture/equipment,bad
2,24,male,2,own,quite rich,2569,39,car,good
2,25,male,2,own,little,5152,24,radio/TV,good
2,39,male,1,own,moderate,1037,12,business,good
4,44,male,2,own,little,1478,15,furniture/equipment,good
4,23,female,1,own,little,3573,12,radio/TV,good
2,26,male,2,own,little,1201,24,car,good
2,57,female,2,rent,rich,3622,30,furniture/equipment,good
3,30,female,2,own,rich,960,15,furniture/equipment,good
4,44,male,2,own,quite rich,1163,12,car,good
3,47,male,3,own,little,1209,6,car,bad
2,52,male,2,own,little,3077,12,radio/TV,good
2,62,female,2,free,little,3757,24,car,good
2,35,male,1,rent,moderate,1418,10,car,good
2,26,male,2,rent,little,3518,6,car,good
4,26,male,2,own,little,1934,12,radio/TV,good
0,42,female,3,free,little,8318,27,business,bad
4,27,female,2,own,moderate,1237,6,radio/TV,good
2,38,male,2,own,NA,368,6,radio/TV,good
4,39,male,1,rent,little,2122,12,car,good
