Credit History,Age,Gender,Job,Housing,Saving accounts,Credit amount,Duration,Purpose,Risk
2,20,male,2,own,NA,2996,24,furniture/equipment,bad
2,29,male,3,rent,moderate,9034,36,furniture/equipment,bad
4,40,male,2,own,little,1585,24,furniture/equipment,good
2,32,male,1,own,little,1301,18,radio/TV,good
4,28,male,2,own,moderate,1323,6,car,good
2,27,female,2,own,little,3123,24,car,bad
2,42,male,2,free,little,5493,36,car,good
2,49,male,2,own,moderate,1126,9,radio/TV,good
4,38,male,2,own,moderate,1216,24,radio/TV,bad
2,24,female,2,rent,little,1207,24,car,bad
2,27,male,1,own,NA,1309,10,car,bad
4,36,male,2,own,quite rich,2360,15,car,good
1,34,male,3,own,moderate,6850,15,car,bad
2,28,male,2,own,little,1413,24,radio/TV,good
2,45,male,3,own,moderate,8588,39,car,good
2,26,male,2,own,little,759,12,car,bad
2,32,male,3,free,little,4686,36,car,good
2,26,male,2,rent,little,2687,15,business,good
3,20,male,2,rent,little,585,12,radio/TV,good
2,54,male,2,own,NA,2255,24,car,good
4,37,female,2,own,little,609,6,car,good
4,40,male,1,own,little,1361,6,car,good
4,23,female,2,rent,little,7127,36,furniture/equipment,bad
2,43,male,2,own,moderate,1203,6,car,good
4,36,male,2,free,NA,700,6,radio/TV,good
4,44,male,2,free,little,5507,24,repairs,good
2,24,female,2,own,little,3190,18,radio/TV,bad
0,53,male,2,free,little,7119,48,furniture/equipment,bad
2,23,female,2,own,moderate,3488,24,car,good
2,26,female,1,own,little,1113,18,radio/TV,good
2,30,male,2,own,little,7966,26,car,good
4,31,female,2,own,moderate,1532,15,education,good
4,42,male,1,own,little,1503,4,radio/TV,good
2,31,male,2,rent,little,2302,36,radio/TV,bad
2,41,male,1,own,little,662,6,car,good
2,32,male,2,own,little,2273,36,education,good
2,28,female,2,rent,moderate,2631,15,car,bad
3,41,male,2,rent,little,1503,12,car,good
2,26,male,2,own,moderate,1311,24,radio/TV,good
2,25,male,2,own,NA,3105,24,radio/TV,good
4,33,male,2,rent,little,2319,21,education,bad
2,75,female,3,own,NA,1374,6,car,good
4,37,female,2,own,little,3612,18,furniture/equipment,good
2,42,male,3,free,little,7763,48,car,bad
2,45,female,1,own,little,3049,18,furniture/equipment,good
2,23,male,2,rent,little,1534,12,radio/TV,bad
3,60,male,2,free,little,2032,24,car,good
2,31,male,2,own,NA,6350,30,furniture/equipment,bad
2,34,male,1,own,little,2864,18,furniture/equipment,bad
4,61,male,1,own,little,1255,12,car,good
3,43,male,2,free,little,1333,24,car,bad
4,37,female,2,own,little,2022,24,car,good
2,32,male,2,own,little,1552,24,radio/TV,good
1,24,female,1,own,little,626,12,radio/TV,bad
4,35,male,2,free,NA,8858,48,car,good
4,23,female,2,own,NA,996,12,repairs,good
1,45,male,1,own,quite rich,1750,6,radio/TV,good
2,34,male,2,own,little,6999,48,radio/TV,bad
4,27,male,2,own,moderate,1995,12,car,good
2,67,female,3,own,little,1199,9,education,good
2,22,male,2,own,little,1331,12,radio/TV,bad
0,28,female,2,own,moderate,2278,18,car,bad
0,29,female,2,own,NA,5003,21,car,bad
1,27,male,2,own,little,3552,24,furniture/equipment,bad
4,31,male,1,own,little,1928,18,furniture/equipment,bad
2,49,male,2,free,NA,2964,24,car,good
1,24,male,1,rent,little,1546,24,radio/TV,bad
3,29,female,2,own,little,683,6,radio/TV,good
2,37,male,2,free,NA,12389,36,car,bad
3,37,male,3,own,NA,4712,24,business,good
3,23,female,2,rent,moderate,1553,24,radio/TV,good
2,36,male,2,own,little,1372,12,car,bad
4,34,male,2,own,rich,2578,24,radio/TV,good
2,41,male,2,own,NA,3979,48,radio/TV,good
2,31,female,2,own,little,6758,48,radio/TV,bad
2,23,female,1,rent,little,3234,24,furniture/equipment,bad
4,38,male,2,own,little,5954,30,radio/TV,good
2,26,female,3,rent,NA,5433,24,car,good
2,22,female,1,own,little,806,15,business,good
2,27,male,1,own,little,1082,9,radio/TV,good
4,24,female,2,own,little,2788,15,furniture/equipment,good
2,27,female,2,own,little,2930,12,radio/TV,good
4,33,female,2,own,NA,1927,24,education,good
4,27,male,2,own,little,2820,36,car,bad
2,27,male,1,own,little,937,24,education,good
4,30,male,2,own,little,1056,18,car,bad
4,49,male,1,own,little,3124,12,car,good
2,26,female,2,rent,little,1388,9,furniture/equipment,good
2,33,male,1,rent,little,2384,36,repairs,bad
2,52,female,3,free,NA,2133,12,car,good
2,20,female,2,rent,little,2039,18,furniture/equipment,bad
4,36,male,2,rent,little,2799,9,car,good
2,21,male,1,own,little,1289,12,furniture/equipment,good
2,47,male,1,own,little,1217,18,domestic appliances,bad
4,60,male,2,own,little,2246,12,furniture/equipment,bad
4,58,female,1,own,little,385,12,radio/TV,good
3,42,female,2,rent,NA,1965,24,car,good
2,36,female,1,own,rich,1572,21,business,good
2,20,female,1,rent,little,2718,24,car,bad
1,40,male,3,own,NA,1358,24,vacation/others,bad
1,32,female,1,own,moderate,931,6,car,bad
2,23,female,2,rent,little,1442,24,car,bad
0,36,male,1,own,little,4241,24,business,bad
4,31,male,2,own,little,2775,18,car,bad
3,32,male,2,free,little,3863,24,business,good
2,45,female,2,own,little,2329,7,radio/TV,good
2,30,female,2,own,little,918,9,furniture/equipment,bad
1,34,female,1,free,little,1837,24,education,bad
2,28,female,3,own,little,3349,36,furniture/equipment,bad
2,23,female,2,own,little,1275,10,furniture/equipment,good
1,22,male,2,own,quite rich,2828,24,furniture/equipment,good
4,74,male,3,own,little,4526,24,business,good
2,50,female,2,free,moderate,2671,36,radio/TV,bad
2,33,male,2,own,little,2051,18,radio/TV,good
2,45,male,2,free,NA,1300,15,car,good
2,22,female,2,own,moderate,741,12,domestic appliances,bad
2,48,female,1,free,moderate,1240,10,car,bad
2,29,female,2,own,rich,3357,21,radio/TV,good
1,22,female,2,rent,little,3632,24,car,good
3,22,female,2,own,little,1808,18,furniture/equipment,bad
0,48,male,3,own,NA,12204,48,business,good
3,27,male,3,free,NA,9157,60,radio/TV,good
4,37,male,2,rent,little,3676,6,car,good
2,21,female,2,rent,moderate,3441,30,furniture/equipment,bad
2,49,male,1,own,little,640,12,car,good
4,27,male,2,own,little,3652,21,business,good
4,32,male,2,own,little,1530,18,car,bad
2,38,male,2,own,NA,3914,48,business,bad
2,22,female,2,rent,little,1858,12,furniture/equipment,good
2,65,male,2,free,little,2600,18,radio/TV,bad
2,35,male,2,own,NA,1979,15,radio/TV,good
2,41,male,2,own,little,2116,6,furniture/equipment,good
1,29,male,2,own,moderate,1437,9,car,bad
4,36,male,2,own,quite rich,4042,42,furniture/equipment,good
2,64,male,1,own,NA,3832,9,education,good
2,28,female,2,own,little,3660,24,radio/TV,good
1,44,male,2,own,little,1553,18,furniture/equipment,bad
2,23,male,2,own,NA,1444,15,radio/TV,good
2,19,female,2,rent,little,1980,9,furniture/equipment,bad
2,25,female,1,own,little,1355,24,car,bad
2,47,male,2,own,little,1393,12,education,good
2,28,female,2,own,quite rich,1376,24,radio/TV,good
3,21,male,2,own,little,15653,60,radio/TV,good
2,34,female,2,own,little,1493,12,radio/TV,good
3,26,male,2,own,little,4370,42,radio/TV,bad
2,27,female,0,own,little,750,18,education,bad
2,38,male,1,own,little,1308,15,repairs,good
2,40,male,3,own,moderate,4623,15,education,bad
4,33,male,2,own,little,1851,24,radio/TV,good
4,32,male,3,own,little,1880,18,radio/TV,good
3,27,male,2,rent,NA,7980,36,business,bad
0,32,male,2,own,little,4583,30,furniture/equipment,good
2,26,female,2,own,quite rich,1386,12,car,bad
2,38,male,2,free,little,947,24,car,bad
2,40,male,1,rent,little,684,12,education,bad
2,50,male,3,free,little,7476,48,education,good
2,37,male,1,own,little,1922,12,furniture/equipment,bad
2,45,male,2,own,little,2303,24,car,bad
3,42,male,3,own,moderate,8086,36,car,bad
4,35,male,2,own,little,2346,24,car,good
2,22,male,2,free,little,3973,14,car,good
2,41,male,1,own,little,888,12,car,bad
2,37,male,2,own,NA,10222,48,radio/TV,good
0,28,female,2,own,little,4221,30,business,good
4,41,male,2,own,little,6361,18,furniture/equipment,good
2,23,male,2,rent,little,1297,12,radio/TV,good
2,23,male,2,own,NA,900,12,car,bad
2,50,male,2,own,little,2241,21,furniture/equipment,good
3,35,male,3,own,little,1050,6,furniture/equipment,good
4,50,female,1,own,little,1047,6,education,good
4,27,male,3,own,little,6314,24,vacation/others,good
1,34,male,2,own,rich,3496,30,furniture/equipment,good
1,27,female,2,own,little,3609,48,business,good
4,43,male,2,rent,little,4843,12,car,bad
4,47,male,2,own,little,3017,30,radio/TV,good
4,27,male,1,own,moderate,4139,24,business,good
2,31,male,2,own,moderate,5742,36,business,good
2,42,male,3,own,little,10366,60,car,good
4,24,male,2,own,quite rich,2080,6,car,good
3,41,male,1,own,quite rich,2580,21,business,bad
4,26,female,3,rent,little,4530,30,radio/TV,good
4,33,male,2,own,little,5150,24,furniture/equipment,good
2,24,male,2,own,moderate,5595,72,radio/TV,bad
2,64,male,1,rent,little,2384,24,radio/TV,good
2,26,female,2,own,little,1453,18,radio/TV,good
2,56,female,2,own,little,1538,6,education,good
2,37,male,2,free,NA,2279,12,radio/TV,good
3,33,male,2,own,little,1478,15,radio/TV,good
4,47,male,2,free,little,5103,24,radio/TV,good
3,31,male,1,own,moderate,9857,36,business,good
2,34,male,2,free,NA,6527,60,car,good
4,27,male,2,own,NA,1347,10,radio/TV,good
3,30,male,2,free,moderate,2862,36,car,good
2,35,male,2,own,moderate,2753,9,radio/TV,good
2,31,male,2,own,rich,3651,12,car,good
4,25,male,2,own,little,975,15,furniture/equipment,good
2,25,female,1,own,moderate,2631,15,repairs,good
2,29,male,2,own,moderate,2896,24,radio/TV,good
4,44,male,1,own,NA,4716,6,car,good
2,28,male,2,own,little,2284,24,radio/TV,good
2,50,male,2,rent,quite rich,1236,6,car,good
2,29,male,2,own,little,1103,12,radio/TV,good
4,38,female,0,own,little,926,12,car,good
4,24,male,2,own,little,1800,18,radio/TV,good
2,40,male,3,rent,little,1905,15,education,good
2,29,female,1,rent,quite rich,1123,12,furniture/equipment,bad
4,46,male,2,free,little,6331,48,car,bad
2,47,female,2,free,moderate,1377,24,radio/TV,good
3,41,male,2,own,moderate,2503,30,business,good
2,32,female,2,own,little,2528,27,business,good
2,35,female,2,free,quite rich,5324,15,car,good
2,24,male,2,own,moderate,6560,48,car,bad
0,25,female,2,rent,little,2969,12,furniture/equipment,bad
2,25,female,2,own,little,1206,9,radio/TV,good
2,37,male,1,own,little,2118,9,radio/TV,good
4,32,male,3,own,quite rich,629,18,radio/TV,good
1,35,female,2,free,little,1198,6,education,bad
2,46,male,3,own,NA,2476,21,car,good
4,25,male,1,own,little,1138,9,radio/TV,good
2,27,male,3,own,little,14027,60,car,bad
4,63,male,2,own,NA,7596,30,car,good
4,40,male,2,own,NA,3077,30,radio/TV,good
2,32,male,3,free,little,1505,18,radio/TV,good
4,31,male,2,own,NA,3148,24,radio/TV,good
0,31,male,2,own,moderate,6148,20,car,good
0,34,male,3,own,little,1337,9,radio/TV,bad
1,24,female,2,rent,rich,433,6,education,bad
2,24,female,1,own,little,1228,12,car,bad
2,66,female,1,own,quite rich,790,9,radio/TV,good
2,21,female,2,rent,little,2570,27,car,bad
4,41,female,1,own,rich,250,6,car,good
4,47,male,1,own,quite rich,1316,15,radio/TV,good
2,25,female,2,rent,little,1882,18,radio/TV,bad
1,59,female,2,rent,little,6416,48,business,bad
4,36,male,2,own,rich,1275,24,business,good
3,33,male,2,own,little,6403,24,radio/TV,good
2,21,male,1,rent,little,1987,24,radio/TV,bad
2,44,female,1,own,little,760,8,radio/TV,good
2,28,female,2,rent,rich,2603,24,car,good
4,37,female,2,own,little,3380,4,car,good
1,29,female,0,own,NA,3990,36,domestic appliances,good
2,23,female,3,rent,little,11560,24,car,bad
2,35,male,1,own,moderate,4380,18,car,good
4,45,male,3,own,little,6761,6,car,good
0,26,female,1,rent,moderate,4280,30,business,bad
1,32,male,2,own,moderate,2325,24,car,good
1,23,male,1,own,little,1048,10,radio/TV,good
2,41,male,2,own,NA,3160,21,radio/TV,good
1,22,male,2,own,quite rich,2483,24,furniture/equipment,good
4,30,male,3,own,NA,14179,39,furniture/equipment,good
4,28,male,1,own,little,1797,13,business,good
2,23,female,2,rent,little,2511,15,car,good
2,37,female,1,own,little,1274,12,car,bad
2,26,male,2,own,NA,5248,21,car,good
2,33,male,2,own,little,3029,15,car,good
2,49,female,2,own,little,428,6,furniture/equipment,good
2,23,female,1,own,little,976,18,car,bad
2,23,female,1,rent,moderate,841,12,business,good
4,25,female,2,own,little,5771,30,radio/TV,good
3,55,male,2,free,rich,1555,12,repairs,bad
2,32,female,2,rent,NA,1285,24,car,bad
4,74,male,0,own,little,1299,6,car,good
4,39,male,2,free,NA,1271,15,radio/TV,bad
2,31,male,2,own,little,1393,24,car,good
4,35,male,2,own,little,691,12,car,bad
4,59,female,2,own,NA,5045,15,car,good
4,24,female,2,rent,little,2124,18,furniture/equipment,bad
2,24,male,1,own,little,2214,12,radio/TV,good
4,30,male,3,free,NA,12680,21,car,bad
4,27,male,2,own,moderate,2463,24,car,good
2,40,male,1,own,little,1155,12,radio/TV,good
2,31,male,1,own,little,3108,30,furniture/equipment,bad
2,31,female,2,rent,NA,2901,10,car,good
4,28,male,2,rent,little,3617,12,furniture/equipment,good
4,63,male,1,own,little,1655,12,radio/TV,good
2,26,female,2,rent,NA,2812,24,car,good
4,25,female,3,own,little,8065,36,education,bad
4,36,male,3,own,little,3275,21,car,good
4,52,male,2,own,moderate,2223,24,radio/TV,good
4,66,male,0,free,quite rich,1480,12,car,good
2,25,female,2,rent,NA,1371,24,car,bad
4,37,male,2,own,little,3535,36,car,good
2,25,female,2,own,little,3509,18,radio/TV,good
4,38,male,3,own,rich,5711,36,car,good
2,67,female,2,own,little,3872,18,repairs,good
4,25,male,2,own,little,4933,39,radio/TV,bad
4,60,male,2,own,rich,1940,24,car,good
0,31,male,1,own,little,1410,12,education,good
2,23,female,1,own,moderate,836,12,car,bad
2,60,male,3,own,NA,6468,20,car,good
2,35,male,1,own,rich,1941,18,business,good
2,40,male,2,own,quite rich,2675,22,radio/TV,good
4,38,male,2,own,NA,2751,48,car,good
3,50,male,2,free,little,6224,48,education,bad
4,27,male,2,own,little,5998,40,education,bad
2,39,female,2,own,little,1188,21,business,bad
2,41,male,3,own,NA,6313,24,car,good
4,27,male,2,own,NA,1221,6,furniture/equipment,good
2,51,male,2,free,little,2892,24,furniture/equipment,good
2,32,male,2,rent,quite rich,3062,24,furniture/equipment,good
2,22,female,2,rent,moderate,2301,9,furniture/equipment,good
2,51,male,2,free,NA,7511,18,car,bad
4,22,female,1,rent,little,1258,12,furniture/equipment,good
3,54,male,2,own,NA,717,24,car,good
2,35,male,0,own,NA,1549,9,car,good
4,54,male,2,free,little,1597,24,education,good
4,48,female,1,rent,little,1795,18,radio/TV,good
4,24,female,2,own,little,4272,20,furniture/equipment,good
4,35,male,2,own,NA,976,12,radio/TV,good
2,24,female,0,rent,NA,7472,12,car,good
2,24,male,2,own,little,9271,36,car,bad
2,26,male,1,own,little,590,6,radio/TV,good
4,65,male,2,own,NA,930,12,radio/TV,good
1,55,male,3,free,little,9283,42,car,good
0,26,female,0,rent,little,1778,15,car,bad
2,26,male,2,own,little,907,8,business,good
2,28,male,1,own,little,484,6,radio/TV,good
4,24,male,2,own,little,9629,36,car,bad
2,54,male,2,own,little,3051,48,domestic appliances,bad
2,46,male,2,free,little,3931,48,car,bad
3,54,female,2,rent,little,7432,36,car,good
2,62,male,2,own,quite rich,1338,6,domestic appliances,good
4,24,female,2,rent,little,1554,6,radio/TV,good
2,43,male,3,own,little,15857,36,vacation/others,good
2,26,male,2,own,little,1345,18,radio/TV,bad
2,27,male,2,own,little,1101,12,car,good
2,24,male,2,own,little,3016,12,radio/TV,good
2,41,male,2,own,little,2712,36,furniture/equipment,bad
4,47,male,1,own,little,731,8,car,good
4,35,male,3,own,little,3780,18,furniture/equipment,good
4,30,male,2,own,little,1602,21,car,good
4,33,female,2,rent,little,3966,18,car,bad
0,36,male,2,own,little,4165,18,business,bad
2,47,male,2,free,NA,8335,36,car,bad
3,38,male,2,free,NA,6681,48,business,good
3,44,male,2,own,quite rich,2375,24,business,good
2,23,female,2,rent,little,1216,18,car,bad
0,29,male,2,rent,little,11816,45,business,bad
2,42,female,2,own,NA,5084,24,radio/TV,good
2,25,female,1,own,little,2327,15,radio/TV,bad
0,48,male,2,own,little,1082,12,car,bad
2,21,female,2,own,NA,886,12,radio/TV,good
2,23,female,1,rent,little,601,4,furniture/equipment,good
4,63,male,2,own,little,2957,24,car,good
4,46,male,2,own,little,2611,24,radio/TV,good
2,29,male,2,own,little,5179,36,furniture/equipment,bad
3,28,male,1,own,little,2993,21,car,good
2,23,female,2,own,little,1943,18,repairs,bad
1,50,male,2,own,little,1559,24,business,good
2,47,male,2,own,little,3422,18,furniture/equipment,good
2,35,male,2,own,NA,3976,21,furniture/equipment,good
2,68,male,2,rent,NA,6761,18,car,bad
2,28,male,2,own,little,1249,24,car,good
2,59,male,2,own,little,1364,9,radio/TV,good
2,57,male,1,own,little,709,12,radio/TV,bad
4,33,male,2,rent,little,2235,20,car,bad
4,43,male,2,own,NA,4042,24,car,good
4,35,male,2,free,little,1471,15,radio/TV,good
1,32,male,1,free,little,1442,18,car,bad
3,45,male,2,own,little,10875,36,car,good
2,33,male,2,own,moderate,1474,24,car,good
2,40,female,2,own,NA,894,10,education,good
4,28,male,2,free,little,3343,15,furniture/equipment,good
2,29,female,2,own,little,3959,15,car,bad
2,26,male,2,rent,moderate,3577,9,car,good
4,27,male,2,own,rich,5804,24,car,good
3,28,male,2,own,little,2169,18,business,bad
2,35,female,2,own,little,2439,24,radio/TV,bad
4,32,male,1,own,rich,4526,27,furniture/equipment,good
2,25,male,1,rent,little,2210,10,furniture/equipment,bad
2,20,female,2,rent,quite rich,2221,15,furniture/equipment,good
2,27,female,2,own,little,2389,18,radio/TV,good
4,42,male,2,own,little,3331,12,furniture/equipment,good
2,37,male,2,own,NA,7409,36,business,good
2,24,female,2,rent,little,652,12,furniture/equipment,good
3,40,female,2,own,quite rich,7678,36,furniture/equipment,good
4,46,male,2,own,little,1343,6,car,good
4,26,male,2,own,moderate,1382,24,business,good
2,24,female,2,own,NA,874,15,domestic appliances,good
2,29,male,1,own,little,3590,12,furniture/equipment,good
4,40,female,2,own,rich,1322,11,car,good
1,36,male,3,free,little,1940,18,radio/TV,good
2,28,male,2,own,little,3595,36,radio/TV,good
2,27,male,3,free,little,1422,9,car,bad
4,36,male,2,own,NA,6742,30,radio/TV,good
2,38,male,3,own,little,7814,24,car,good
2,48,male,2,free,NA,9277,24,car,good
4,36,male,2,own,NA,2181,30,car,good
4,65,female,0,own,little,1098,18,radio/TV,good
2,43,male,2,own,little,4057,24,furniture/equipment,bad
2,53,female,2,own,little,795,12,education,bad
4,34,male,2,own,NA,2825,24,business,good
2,23,male,2,own,little,15672,48,business,bad
4,34,male,3,own,little,6614,36,car,good
1,40,male,2,rent,NA,7824,28,car,good
4,43,male,3,own,little,2442,27,business,good
4,46,male,2,own,little,1829,15,radio/TV,good
4,38,male,1,own,little,2171,12,car,good
4,34,male,2,own,little,5800,36,car,good
4,29,male,2,own,NA,1169,18,radio/TV,good
3,31,male,3,own,NA,8947,36,car,good
2,28,female,3,rent,little,2606,21,radio/TV,good
4,35,female,2,own,rich,1592,12,furniture/equipment,good
2,33,female,1,rent,NA,2186,15,furniture/equipment,good
2,42,male,2,own,little,4153,18,furniture/equipment,bad
4,43,male,2,rent,little,2625,16,car,bad
4,44,male,2,own,NA,3485,20,car,good
4,42,male,2,free,NA,10477,36,car,good
2,40,male,2,rent,NA,1386,15,radio/TV,good
2,36,male,3,own,little,1278,24,radio/TV,good
2,20,male,3,rent,little,1107,12,radio/TV,good
2,24,male,1,own,NA,3763,21,car,good
2,27,male,2,own,NA,3711,36,education,good
3,46,female,1,own,little,3594,15,car,good
2,33,female,1,own,NA,3195,9,car,good
3,34,female,2,own,little,4454,36,radio/TV,good
4,25,female,1,own,little,4736,24,furniture/equipment,bad
2,25,female,2,own,NA,2991,30,radio/TV,good
2,28,male,2,own,rich,2142,11,business,good
1,31,male,2,rent,little,3161,24,business,bad
0,32,female,3,own,little,18424,48,vacation/others,bad
2,32,male,2,own,moderate,2848,10,car,good
2,68,male,3,own,little,14896,6,car,bad
2,33,male,2,own,moderate,2359,24,furniture/equipment,bad
2,39,male,3,rent,little,3345,24,furniture/equipment,bad
4,28,female,2,own,little,1817,18,furniture/equipment,good
3,37,male,3,own,quite rich,12749,48,radio/TV,good
2,22,female,2,rent,little,1366,9,radio/TV,bad
2,30,male,2,rent,little,2002,12,car,good
1,55,male,2,own,little,6872,24,furniture/equipment,bad
1,46,male,2,own,little,697,12,car,bad
4,21,female,2,rent,little,1049,18,furniture/equipment,good
2,39,male,2,free,little,10297,48,car,bad
2,58,male,2,own,NA,1867,30,radio/TV,good
3,43,male,1,own,little,1344,12,car,good
2,24,male,1,own,little,1747,24,furniture/equipment,good
2,22,female,2,own,little,1670,9,radio/TV,bad
4,30,male,2,own,little,1224,9,car,good
4,42,male,2,own,quite rich,522,12,radio/TV,good
2,23,female,2,own,little,1498,12,radio/TV,good
3,30,male,3,own,moderate,1919,30,radio/TV,bad
2,28,female,1,own,little,745,9,radio/TV,bad
2,30,male,3,rent,little,2063,6,radio/TV,good
2,42,male,2,free,little,6288,60,education,bad
4,46,male,3,own,NA,6842,24,car,good
2,45,male,3,own,NA,3527,12,car,good
2,31,male,1,own,little,1546,10,car,good
2,31,male,2,own,NA,929,24,furniture/equipment,good
4,42,male,1,own,little,1455,4,car,good
2,46,female,2,rent,little,1845,15,furniture/equipment,good
0,30,female,2,own,quite rich,8358,48,car,good
1,30,male,2,free,quite rich,3349,24,furniture/equipment,bad
2,38,male,3,own,NA,2859,12,car,good
2,43,male,1,own,little,1533,18,furniture/equipment,bad
2,31,male,2,own,moderate,3621,24,radio/TV,bad
4,40,male,0,own,little,3590,18,business,good
3,24,male,2,own,little,2145,36,business,bad
2,28,female,2,rent,quite rich,4113,24,car,bad
2,26,female,3,own,little,10974,36,furniture/equipment,bad
2,29,female,2,own,little,1893,12,car,good
4,57,female,3,rent,rich,1231,24,radio/TV,good
4,49,male,1,own,NA,3656,30,radio/TV,good
4,37,male,1,own,little,1154,9,radio/TV,good
2,45,male,1,own,little,4006,28,car,bad
2,30,male,2,free,moderate,3069,24,furniture/equipment,good
4,30,male,2,rent,little,1740,6,radio/TV,good
3,47,male,2,own,little,2353,21,car,good
2,29,male,2,own,NA,3556,15,car,good
2,35,male,2,own,quite rich,2397,24,radio/TV,bad
2,22,male,1,own,little,454,6,repairs,good
2,26,female,2,own,NA,1715,30,radio/TV,good
4,23,male,1,own,quite rich,2520,27,radio/TV,bad
2,54,female,3,rent,little,3568,15,radio/TV,good
2,29,male,2,rent,NA,7166,42,radio/TV,good
4,40,male,1,own,little,3939,11,car,good
2,22,male,2,own,moderate,1514,15,repairs,good
2,43,male,1,own,little,7393,24,car,good
1,29,female,0,rent,little,1193,24,car,bad
2,36,male,2,rent,little,7297,60,business,bad
4,33,female,2,own,little,2831,30,radio/TV,good
2,57,female,1,own,quite rich,1258,24,radio/TV,good
2,64,female,2,own,little,753,6,radio/TV,good
3,42,male,2,own,NA,2427,18,business,good
3,47,male,1,own,little,2538,24,car,bad
1,25,male,2,rent,moderate,1264,15,car,bad
4,49,male,2,own,little,8386,30,furniture/equipment,bad
2,33,male,3,rent,little,4844,48,business,bad
2,28,female,3,own,moderate,2923,21,car,good
2,26,male,2,own,little,8229,36,car,bad
4,30,male,1,own,little,2028,24,furniture/equipment,good
4,25,female,2,rent,little,1433,15,furniture/equipment,good
0,33,male,2,own,little,6289,42,business,good
2,64,female,2,own,moderate,1409,13,radio/TV,good
2,29,male,3,free,little,6579,24,car,good
4,48,male,1,own,little,1743,24,radio/TV,good
4,37,male,1,own,NA,3565,12,education,good
1,34,male,1,own,moderate,1569,15,radio/TV,good
2,23,male,1,rent,NA,1936,18,radio/TV,good
2,30,male,3,own,little,3959,36,furniture/equipment,good
2,50,male,2,own,NA,2390,12,car,good
2,31,female,1,own,little,1736,12,furniture/equipment,good
2,40,male,3,own,little,3857,30,car,good
2,38,male,2,own,little,804,12,radio/TV,good
2,23,male,2,free,little,1845,45,radio/TV,bad
4,27,male,2,own,moderate,4576,45,car,good
